"list","spp","prevalence","transect_avg_cnt","transect_cv"
"pif_waterbirds_shorebirds_trend_3","American Coot",0.023,260,2.598
"pif_waterbirds_shorebirds_trend_3","American White Pelican",0.013,6,1.233
"pif_waterbirds_shorebirds_trend_3","American Wigeon",0.003,1,NA
"pif_waterbirds_shorebirds_trend_3","Black Tern",0,0,0
"pif_waterbirds_shorebirds_trend_3","Black-crowned Night-Heron",0.003,1,NA
"pif_waterbirds_shorebirds_trend_3","Blue-winged Teal",0.063,3,0.916
"pif_waterbirds_shorebirds_trend_3","Canvasback",0,0,0
"pif_waterbirds_shorebirds_trend_3","Cattle Egret",0.013,12,0.514
"pif_waterbirds_shorebirds_trend_3","Cinnamon Teal",0.007,2,0
"pif_waterbirds_shorebirds_trend_3","Double-crested Cormorant",0.02,3,0.787
"pif_waterbirds_shorebirds_trend_3","Eared Grebe",0,0,0
"pif_waterbirds_shorebirds_trend_3","Forster's Tern",0,0,0
"pif_waterbirds_shorebirds_trend_3","Gadwall",0.013,5,1.082
"pif_waterbirds_shorebirds_trend_3","Great Blue Heron",0.157,2,1.39
"pif_waterbirds_shorebirds_trend_3","Green-winged Teal",0.013,3,1.273
"pif_waterbirds_shorebirds_trend_3","Lesser Scaup",0.003,3,NA
"pif_waterbirds_shorebirds_trend_3","Mallard",0.197,3,0.865
"pif_waterbirds_shorebirds_trend_3","Northern Pintail",0.007,4,1.061
"pif_waterbirds_shorebirds_trend_3","Northern Shoveler",0.03,5,1.03
"pif_waterbirds_shorebirds_trend_3","Pied-billed Grebe",0.01,1,0.433
"pif_waterbirds_shorebirds_trend_3","Redhead",0.143,0,6.557
"pif_waterbirds_shorebirds_trend_3","Ruddy Duck",0.013,25,0.931
"pif_waterbirds_shorebirds_trend_3","Western Grebe",0.007,37,1.376
"pif_waterbirds_shorebirds_trend_3","White-faced Ibis",0.01,23,1.177
"pif_waterbirds_shorebirds_trend_3","American Avocet",0.017,4,0.919
"pif_waterbirds_shorebirds_trend_3","Spotted Sandpiper",0.033,1,0.351
"pif_waterbirds_shorebirds_trend_3","Willet",0,0,0
"pif_landbirds_trend_3","Burrowing Owl",0.067,3,1.666
"pif_landbirds_trend_3","Great Horned Owl",0.077,1,0.549
"pif_landbirds_trend_3","Greater Prairie-Chicken",0.017,13,1.105
"pif_landbirds_trend_3","Greater Roadrunner",0.1,4,0.865
"pif_landbirds_trend_3","Northern Bobwhite",0.36,8,0.9
"pif_landbirds_trend_3","Orchard Oriole",0.053,2,0.545
"pif_landbirds_trend_3","Painted Bunting",0.087,11,0.903
"pif_landbirds_trend_3","Prairie Falcon",0.01,1,0
"pif_landbirds_trend_3","Red-headed Woodpecker",0.14,6,1.112
"pif_landbirds_trend_3","Wild Turkey",0.143,3,1.111
"sgcn_tier_2_swap_waterbirds","Clark's Grebe",0,0,0
"sgcn_tier_2_swap_waterbirds","King Rail",0,0,0
"sgcn_tier_2_swap_landbirds","Bobolink",0.013,2,0.667
"sgcn_tier_2_swap_landbirds","Common Poorwill",0,0,0
"sgcn_tier_2_swap_landbirds","Lewis's Woodpecker",0,0,0
"sgcn_tier_2_swap_landbirds","Black-and-White Warbler",0.007,0,NA
"sgcn_tier_2_swap_landbirds","Black-billed Magpie",0.073,3,0.943
"sgcn_tier_2_swap_landbirds","Brewer's Blackbird",0.06,6,1.497
"sgcn_tier_2_swap_landbirds","Brown Creeper",0,0,0
"sgcn_tier_2_swap_landbirds","Carolina Wren",0.03,2,0.688
"sgcn_tier_2_swap_landbirds","Cassin's Finch",0,0,0
"sgcn_tier_2_swap_landbirds","Cassin's Kingbird",0.033,5,1.218
"sgcn_tier_2_swap_landbirds","Clark's Nutcracker",0,0,0
"sgcn_tier_2_swap_landbirds","Cordilleran Flycatcher",0.003,1,NA
"sgcn_tier_2_swap_landbirds","Dark-eyed Junco",0,0,0
"sgcn_tier_2_swap_landbirds","Gray Vireo",0,0,0
"sgcn_tier_2_swap_landbirds","Juniper Titmouse",0,0,0
"sgcn_tier_2_swap_landbirds","Kentucky Warbler",0,0,0
"sgcn_tier_2_swap_landbirds","Lazuli Bunting",0.06,3,1.045
"sgcn_tier_2_swap_landbirds","Louisiana Waterthrush",0,0,0
"sgcn_tier_2_swap_landbirds","Merlin",0.003,1,NA
"sgcn_tier_2_swap_landbirds","Olive-sided Flycatcher",0,0,0
"sgcn_tier_2_swap_landbirds","Pileated Woodpecker",0,0,0
"sgcn_tier_2_swap_landbirds","Pine Siskin",0.02,2,0.49
"sgcn_tier_2_swap_landbirds","Pinyon Jay",0,0,0
"sgcn_tier_2_swap_landbirds","Plumbeous Vireo",0.003,1,NA
"sgcn_tier_2_swap_landbirds","Prothonotary Warbler",0,0,0
"sgcn_tier_2_swap_landbirds","Purple Martin",0.01,1,0
"sgcn_tier_2_swap_landbirds","Pygmy Nuthatch",0.013,4,0.78
"sgcn_tier_2_swap_landbirds","Red-tailed Hawk",0.17,2,0.906
"sgcn_tier_2_swap_landbirds","Ruby-throated Hummingbird",0,0,0
"sgcn_tier_2_swap_landbirds","Savannah Sparrow",0.037,3,1.848
"sgcn_tier_2_swap_landbirds","Sedge Wren",0,0,0
"sgcn_tier_2_swap_landbirds","Sharp-shinned Hawk",0.007,1,0
"sgcn_tier_2_swap_landbirds","Spotted Towhee",0.127,7,0.96
"sgcn_tier_2_swap_landbirds","Townsend's Solitaire",0,0,0
"sgcn_tier_2_swap_landbirds","Tufted Titmouse",0.013,2,0.577
"sgcn_tier_2_swap_landbirds","Violet-green Swallow",0.04,4,1.111
"sgcn_tier_2_swap_landbirds","Virginia's Warbler",0,0,0
"sgcn_tier_2_swap_landbirds","White-eyed Vireo",0,0,0
"sgcn_tier_2_swap_landbirds","White-throated Swift",0.02,5,1.356
"sgcn_tier_2_swap_landbirds","Yellow-throated Vireo",0,0,0
"sgcn_tier_1_swap_waterbirds_shorebirds","Upland Sandpiper",0.133,2,0.82
"esa_pif_declining_spp_landbirds","Baltimore Oriole",0.02,4,0.975
"esa_pif_declining_spp_landbirds","Bell's Vireo",0.03,3,1.179
"esa_pif_declining_spp_landbirds","Black-capped Vireo",0,0,0
"esa_pif_declining_spp_landbirds","Bewick's Wren",0.097,5,1.378
"esa_pif_declining_spp_landbirds","Brown-headed Cowbird",0.653,6,1.052
"esa_pif_declining_spp_landbirds","Bullock's Oriole",0.203,3,1.125
"esa_pif_declining_spp_landbirds","Chichuahuan Raven",0,0,0
"esa_pif_declining_spp_landbirds","Cassin's Sparrow",0.443,20,0.981
"esa_pif_declining_spp_landbirds","Common Grackle",0.343,7,1.354
"esa_pif_declining_spp_landbirds","Common Nighthawk",0.227,3,1.301
"esa_pif_declining_spp_landbirds","Eastern Kingbird",0.19,4,0.934
"esa_pif_declining_spp_landbirds","Eastern Meadowlark",0.193,9,0.842
"esa_pif_declining_spp_landbirds","Ferruginous Hawk",0.013,2,1
"esa_pif_declining_spp_landbirds","Grasshopper Sparrow",0.587,11,0.903
"esa_pif_declining_spp_landbirds","Horned Lark",0.63,23,0.95
"esa_pif_declining_spp_landbirds","Lark Bunting",0.467,29,1.768
"esa_pif_declining_spp_landbirds","Lark Sparrow",0.6,5,1.168
"esa_pif_declining_spp_landbirds","Lesser Prairie-Chicken",0.02,12,1.244
"esa_pif_declining_spp_landbirds","Loggerhead Shrike",0.077,2,1.052
"esa_pif_declining_spp_landbirds","Mississippi Kite",0.05,3,0.613
"esa_pif_declining_spp_landbirds","Mourning Dove",0.93,11,0.746
"esa_pif_declining_spp_landbirds","Northern Mockingbird",0.363,7,1.083
"esa_pif_declining_spp_landbirds","Ring-necked Pheasant",0.41,9,0.838
"esa_pif_declining_spp_landbirds","Scaled Quail",0.183,7,1.008
"esa_pif_declining_spp_landbirds","Scissor-tailed Flycatcher",0.147,3,0.856
"esa_pif_declining_spp_landbirds","Swainson's Hawk",0.203,2,1.017
"esa_pif_declining_spp_landbirds","Western Kingbird",0.55,5,1.234
"esa_pif_declining_spp_landbirds","Western Meadowlark",0.823,31,0.732
"esa_pif_declining_spp_waterbirds_shorebirds","Killdeer",0.527,4,0.921
"esa_pif_declining_spp_waterbirds_shorebirds","Least Tern",0,0,0
"esa_pif_declining_spp_waterbirds_shorebirds","Long-billed Curlew",0.05,4,0.954
"esa_pif_declining_spp_waterbirds_shorebirds","Mountain Plover",0,0,0
"esa_pif_declining_spp_waterbirds_shorebirds","Piping Plover",0,0,0
"esa_pif_declining_spp_waterbirds_shorebirds","Snowy Plover",0.003,5,NA
"sgcn_tier_1_swap_landbirds","McCown's Longspur",0.017,15,1.073
"sgcn_tier_1_swap_landbirds","Bald Eagle",0,0,0
"sgcn_tier_1_swap_landbirds","Barn Owl",0.003,1,NA
"sgcn_tier_1_swap_landbirds","Brewer's Sparrow",0.09,4,1.56
"sgcn_tier_1_swap_landbirds","Chuck-will's-widow",0.003,1,NA
"sgcn_tier_1_swap_landbirds","Dickcissel",0.23,9,1.376
"sgcn_tier_1_swap_landbirds","Golden Eagle",0.007,1,0
"sgcn_tier_1_swap_landbirds","Harris's Hawk",0,0,0
"sgcn_tier_1_swap_landbirds","Henslow's Sparrow",0,0,0
"sgcn_tier_1_swap_landbirds","Northern Harrier",0.03,1,0.3
"sgcn_tier_1_swap_landbirds","Peregrine Falcon",0.007,1,0
"sgcn_tier_1_swap_landbirds","Short-eared Owl",0.003,3,NA
"sgcn_tier_1_swap_landbirds","Sharp-tailed Grouse",0.007,7,1.212
"sgcn_tier_1_swap_landbirds","Carolina Chickadee",0.013,1,0
"sgcn_tier_1_swap_landbirds","Great-tailed Grackle",0.14,9,1.749
"sgcn_tier_1_swap_landbirds","Red-naped Sapsucker",0,0,0
"sgcn_tier_1_swap_landbirds","Rufous-crowned Sparrow",0.047,3,0.923
"sgcn_tier_1_swap_landbirds","Summer Tanager",0.01,4,1.033
